t	y	dy	ddy
1.315698302135038356e+00	2.855672536805922701e-01	4.300638905691948621e-01	3.117863290787550312e-01
1.325698302135038364e+00	2.898834744702877275e-01	4.331795178423519244e-01	3.113381114202722899e-01
1.335698302135038373e+00	2.942308290120673187e-01	4.362906325068837132e-01	3.108838046279531753e-01
1.345698302135038382e+00	2.986092718792208722e-01	4.393971735737763340e-01	3.104233889593274176e-01
1.355698302135038391e+00	3.030187570341994485e-01	4.424990798600134667e-01	3.099568453845890081e-01
1.365698302135038400e+00	3.074592378225025624e-01	4.455962899943977651e-01	3.094841555982096315e-01
1.375698302135038409e+00	3.119306669578614244e-01	4.486887424216131071e-01	3.090053020412693030e-01
1.385698302135038418e+00	3.164329965632610708e-01	4.517763754216289618e-01	3.085202678573654711e-01
1.395698302135038427e+00	3.209661781436646266e-01	4.548591271095174249e-01	3.080290369296097563e-01
1.405698302135038436e+00	3.255301625758653117e-01	4.579369354404057013e-01	3.075315938971680541e-01
1.415698302135038444e+00	3.301249001543216655e-01	4.610097382286881262e-01	3.070279241045430485e-01
1.425698302135038453e+00	3.347503404646198222e-01	4.640774731252815810e-01	3.065180137593128129e-01
1.435698302135038462e+00	3.394064325198835608e-01	4.671400776597585680e-01	3.060018497715600860e-01
1.445698302135038471e+00	3.440931247079030975e-01	4.701974892344959467e-01	3.054794198224545232e-01
1.455698302135038480e+00	3.488103647855970157e-01	4.732496451315407193e-01	3.049507123754695570e-01
1.465698302135038489e+00	3.535580998646496442e-01	4.762964825187067097e-01	3.044157166989989172e-01
1.475698302135038498e+00	3.583362764540950485e-01	4.793379384647937780e-01	3.038744228174965478e-01
1.485698302135038507e+00	3.631448404331764634e-01	4.823739499427867616e-01	3.033268215499353992e-01
1.495698302135038515e+00	3.679837370417115006e-01	4.854044538362985439e-01	3.027729045262194107e-01
1.505698302135038524e+00	3.728529109274429931e-01	4.884293869539800825e-01	3.022126641314180073e-01
1.515698302135038533e+00	3.777523060181069425e-01	4.914486860214261066e-01	3.016460936732496823e-01
1.525698302135038542e+00	3.826818656609684011e-01	4.944622877083165724e-01	3.010731872086134242e-01
1.535698302135038551e+00	3.876415325697030734e-01	4.974701286288455981e-01	3.004939396156381393e-01
1.545698302135038560e+00	3.926312488195254913e-01	5.004721453495811767e-01	2.999083466042139490e-01
1.555698302135038569e+00	3.976509558334644923e-01	5.034682743976023334e-01	2.993164047384582749e-01
1.565698302135038578e+00	4.027005944261134451e-01	5.064584522711201853e-01	2.987181113834713742e-01
1.575698302135038587e+00	4.077801047769346043e-01	5.094426154461653145e-01	2.981134647446527786e-01
1.585698302135038595e+00	4.128894264212703002e-01	5.124207003844932773e-01	2.975024638836311630e-01
1.595698302135038604e+00	4.180284982987573783e-01	5.153926435427611530e-01	2.968851086579467613e-01
1.605698302135038613e+00	4.231972586253568425e-01	5.183583813798650075e-01	2.962613998961001749e-01
1.615698302135038622e+00	4.283956450346153577e-01	5.213178503680048204e-01	2.956313392130912043e-01
1.625698302135038631e+00	4.336235945248783641e-01	5.242709869996675653e-01	2.949949290849114836e-01
1.635698302135038640e+00	4.388810434551703721e-01	5.272177277964037456e-01	2.943521728580955621e-01
1.645698302135038649e+00	4.441679275322911180e-01	5.301580093189705023e-01	2.937030747715708712e-01
1.655698302135038658e+00	4.494841818553010349e-01	5.330917681729815394e-01	2.930476398995681131e-01
1.665698302135038666e+00	4.548297408895869420e-01	5.360189410191338322e-01	2.923858741911185000e-01
1.675698302135038675e+00	4.602045384586487264e-01	5.389394645825148489e-01	2.917177844851324142e-01
1.685698302135038684e+00	4.656085077930888771e-01	5.418532756561657004e-01	2.910433784461964324e-01
1.695698302135038693e+00	4.710415814040193605e-01	5.447603111244181395e-01	2.903626647446158060e-01
1.705698302135038702e+00	4.765036912245608769e-01	5.476605079569886181e-01	2.896756528633356864e-01
1.715698302135038711e+00	4.819947685579857866e-01	5.505538032226927614e-01	2.889823531737008566e-01
1.725698302135038720e+00	4.875147440744281302e-01	5.534401340990352525e-01	2.882827769437380505e-01
1.735698302135038729e+00	4.930635477989782078e-01	5.563194378842792887e-01	2.875769363589051331e-01
1.745698302135038738e+00	4.986411091564412756e-01	5.591916519978109568e-01	2.868648444618509541e-01
